ablation_arm,candidate_id,contains_capacity_field,contains_event_cutoff_field,contains_flow_liquidity_field,contains_fundamental_field,contains_limit_event_field,contains_new_event_adapter_field,coverage_placebo_required,dataset,diagnostic_role,expression,expression_key,factor_lane,factor_pack_id,factor_pack_version,field_family,field_name,input_fields,lag_contract,leakage_flag,official_book_eligible,panel_alias,phase3_budget_bucket,phase3aa_factor_candidate,phase3aa_injection_version,pool_priority_score,pool_priority_version,promotion_gate,proof_variant,repair_priority_score,required_audits,required_lag_days,search_memory_key,shuffled_field_placebo_required,skeleton_key,source_credit_cap_basis,source_credit_policy,source_factor_pack,source_field_key,source_generator,source_group,source_lane,source_profile,source_quota_group,source_registry,template,selection_policy,strict_selection_role,selection_pool_type,quota_applied,quota_type,quota_stage,quota_basis,rejected_by_quota,quota_reject_reason,phase3e_selector_profile,phase3e_selection_score,base_quality,turnover_proxy,cost_adjusted_proxy,max_corr_to_103_registry,mean_corr_to_103_registry,nearest_103_cluster,max_corr_to_134_registry,mean_corr_to_134_registry,nearest_134_cluster_id,novelty_vs_134,known_cluster_id,provisional_cluster_id,source_lane_cluster_id,max_corr_to_selected_queue,mean_corr_to_selected_queue,base_e3_score,turnover_structure_risk,turnover_penalty,turnover_structure_penalty,selector_pool_turnover_p80,selector_pool_turnover_p90,selector_pool_turnover_p95,high_turnover_p80_count_before_pick,high_turnover_p90_count_before_pick,turnover_tail_penalty,liquidity_proxy,capacity_proxy,liquidity_penalty,capacity_penalty,pool_priority_bonus,registry_symbolic_corr_penalty,complexity_penalty,cap_reject_reason,signal_vector_id,signal_vector_source,signal_vector_error,signal_vector_ready,nearest_134_signal_cluster_id,max_corr_to_134_signal_vector,mean_topk_corr_to_134_signal_vector,novelty_vs_134_signal_vector,known_signal_cluster_id,provisional_signal_cluster_id,source_lane_signal_cluster_id,signal_vector_cluster_basis,max_corr_to_selected_queue_signal,mean_corr_to_selected_queue_signal,nearest_selected_signal_cluster_id,nearest_selected_signal_vector_id,known_signal_cluster_count_before_pick,provisional_signal_cluster_count_before_pick,source_lane_signal_cluster_count_before_pick,vector_diversity_penalty,known_signal_cluster_penalty,provisional_signal_cluster_penalty,source_lane_signal_cluster_penalty,cluster_001_signal_penalty,cluster_003_signal_penalty,selector_mode
Phase3AA_G2_event_source_priority,phase3aa_event_0025_phase3ae_brepair_v1_00025,False,True,False,False,True,True,True,review_uplimit_reason,event_state_bounded_formula_candidate,CSRank($evt_limit_fengdan_rate_last_by_1130),v2cand-d6e1dd5bb27a,event_state_machine_formula_lane,phase3ae_bounded_repair_factor_pack_v1_20260604,phase3ae-bounded-repair-factor-pack-v1-2026-06-04,limit_event_sentiment,fengdan_rate,evt_limit_fengdan_rate_last_by_1130,event_cutoff_required; same-day use allowed only after observable cutoff; otherwise lag1,requires_pre_replay_features_no_future_labels_no_same_day_unavailable_fields,False,evt_limit_fengdan_rate_last_by_1130,event_derived_feature_layer,True,phase3aa-shared-pool-event-injection-v1-2026-05-29,0.85,candidate-pool-source-priority-v1-2026-05-28,selector_only_then_64_audited_canary_no_baseline_update,event_derived_feature_layer,12.0,PIT_lag_contract|coverage_mask_placebo|shuffled_field_placebo|selector_only_canary|replay_canary|new_vs_149_signal_recluster|source_attribution,event_cutoff_or_lag1,v2cand-d6e1dd5bb27a,True,skeleton-7bec5eaeed393de9,v2cand-d6e1dd5bb27a,phase3aa_opt_in_selector_source_priority,runtime\phase3ae_bounded_repair_selector_only_v1_20260604\phase3ae_bounded_repair_factor_pack_value_filtered_v1_20260604.json,b6d6c04b7e3aff29,phase3ae_bounded_repair_factor_pack_v1,cn_zzshare_uplimit_history_silver_v1_20260531,phase3ae_bounded_repair_feature_layer,D3_primary,phase3ae_bounded_repair_feature_layer:event_state_bounded_formula_candidate:none,global_field_route,rank_level,phase3e_signal_vector_diversified_source_priority_proxy,phase3e_signal_vector_diversified_source_priority_proxy_rank_17,phase3e_selector_pool,False,phase3e_selector,selector_pre_audit,phase3e_signal_vector_diversified_source_priority_proxy,False,,signal_vector_diversified_source_priority_proxy,0.7850003,0.0,,,0.083333,0.083333,cluster_148,0.083333,0.083333,cluster_148,0.916667,,prov_c34c2f3c,event_derived_feature_layer|prov_c34c2f3c,0.125,0.1,0.3875003,0.0,0.0,0.0,0.059639,0.070323,0.074188,2,1,0.0,0.0,0.0,1.0,1.0,-0.0525,0.083333,0.0,,364b7375b83bd95b5719,missing,UnsupportedExpressionError:missing_field:evt_limit_fengdan_rate_last_by_1130,False,,0.0,0.0,1.0,,sigprov_364b7375b83b,event_derived_feature_layer|sigprov_364b7375b83b,self_vector,0.0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,signal_vector_diversified_source_priority_proxy
Phase3AA_G2_event_source_priority,phase3aa_event_0019_phase3ae_brepair_v1_00019,False,True,False,False,True,True,True,review_uplimit_reason,event_state_bounded_formula_candidate,"CSRank(Log(Add(Abs($evt_limit_fengdan_rate_last_by_1000),1)))",v2cand-9cf96e69b568,event_state_machine_formula_lane,phase3ae_bounded_repair_factor_pack_v1_20260604,phase3ae-bounded-repair-factor-pack-v1-2026-06-04,limit_event_sentiment,fengdan_rate,evt_limit_fengdan_rate_last_by_1000,event_cutoff_required; same-day use allowed only after observable cutoff; otherwise lag1,requires_pre_replay_features_no_future_labels_no_same_day_unavailable_fields,False,evt_limit_fengdan_rate_last_by_1000,event_derived_feature_layer,True,phase3aa-shared-pool-event-injection-v1-2026-05-29,0.85,candidate-pool-source-priority-v1-2026-05-28,selector_only_then_64_audited_canary_no_baseline_update,event_derived_feature_layer,12.0,PIT_lag_contract|coverage_mask_placebo|shuffled_field_placebo|selector_only_canary|replay_canary|new_vs_149_signal_recluster|source_attribution,event_cutoff_or_lag1,v2cand-9cf96e69b568,True,skeleton-fcfaa941b5aba34a,v2cand-9cf96e69b568,phase3aa_opt_in_selector_source_priority,runtime\phase3ae_bounded_repair_selector_only_v1_20260604\phase3ae_bounded_repair_factor_pack_value_filtered_v1_20260604.json,49de1a4de69b27cd,phase3ae_bounded_repair_factor_pack_v1,cn_zzshare_uplimit_history_silver_v1_20260531,phase3ae_bounded_repair_feature_layer,D3_primary,phase3ae_bounded_repair_feature_layer:event_state_bounded_formula_candidate:none,global_field_route,rank_log_abs_level,phase3e_signal_vector_diversified_source_priority_proxy,phase3e_signal_vector_diversified_source_priority_proxy_rank_18,phase3e_selector_pool,False,phase3e_selector,selector_pre_audit,phase3e_signal_vector_diversified_source_priority_proxy,False,,signal_vector_diversified_source_priority_proxy,0.72875,0.0,,,0.1,0.081905,cluster_055,0.1,0.081905,cluster_055,0.9,,prov_64052d14,event_derived_feature_layer|prov_64052d14,0.2625,0.123452,0.33125,0.0,0.0,0.0,0.059639,0.070323,0.074188,2,1,0.0,0.0,0.0,1.0,1.0,-0.0525,0.1,0.0,,4140a14050b1c4c2c55a,missing,UnsupportedExpressionError:missing_field:evt_limit_fengdan_rate_last_by_1000,False,,0.0,0.0,1.0,,sigprov_4140a14050b1,event_derived_feature_layer|sigprov_4140a14050b1,self_vector,0.0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,signal_vector_diversified_source_priority_proxy
Phase3AA_G2_event_source_priority,phase3aa_event_0024_phase3ae_brepair_v1_00024,False,True,False,False,True,True,True,review_uplimit_reason,event_state_bounded_formula_candidate,"CSRank(Delta($evt_limit_fengdan_rate_last_by_1000,3))",v2cand-5b8c0d55217c,event_state_machine_formula_lane,phase3ae_bounded_repair_factor_pack_v1_20260604,phase3ae-bounded-repair-factor-pack-v1-2026-06-04,limit_event_sentiment,fengdan_rate,evt_limit_fengdan_rate_last_by_1000,event_cutoff_required; same-day use allowed only after observable cutoff; otherwise lag1,requires_pre_replay_features_no_future_labels_no_same_day_unavailable_fields,False,evt_limit_fengdan_rate_last_by_1000,event_derived_feature_layer,True,phase3aa-shared-pool-event-injection-v1-2026-05-29,0.85,candidate-pool-source-priority-v1-2026-05-28,selector_only_then_64_audited_canary_no_baseline_update,event_derived_feature_layer,12.0,PIT_lag_contract|coverage_mask_placebo|shuffled_field_placebo|selector_only_canary|replay_canary|new_vs_149_signal_recluster|source_attribution,event_cutoff_or_lag1,v2cand-5b8c0d55217c,True,skeleton-cc11bf4e1636f156,v2cand-5b8c0d55217c,phase3aa_opt_in_selector_source_priority,runtime\phase3ae_bounded_repair_selector_only_v1_20260604\phase3ae_bounded_repair_factor_pack_value_filtered_v1_20260604.json,49de1a4de69b27cd,phase3ae_bounded_repair_factor_pack_v1,cn_zzshare_uplimit_history_silver_v1_20260531,phase3ae_bounded_repair_feature_layer,D3_primary,phase3ae_bounded_repair_feature_layer:event_state_bounded_formula_candidate:none,global_field_route,event_state_impulse_3,phase3e_signal_vector_diversified_source_priority_proxy,phase3e_signal_vector_diversified_source_priority_proxy_rank_20,phase3e_selector_pool,False,phase3e_selector,selector_pre_audit,phase3e_signal_vector_diversified_source_priority_proxy,False,,signal_vector_diversified_source_priority_proxy,0.6499997,0.0,,,0.166667,0.166667,cluster_032,0.166667,0.166667,cluster_032,0.833333,,prov_066d19df,event_derived_feature_layer|prov_066d19df,0.325,0.213333,0.2524997,0.0,0.0,0.0,0.059639,0.070323,0.074188,2,1,0.0,0.0,0.0,1.0,1.0,-0.0525,0.166667,0.0,,ae3814b174770c007f3d,missing,UnsupportedExpressionError:missing_field:evt_limit_fengdan_rate_last_by_1000,False,,0.0,0.0,1.0,,sigprov_ae3814b17477,event_derived_feature_layer|sigprov_ae3814b17477,self_vector,0.0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,signal_vector_diversified_source_priority_proxy
Phase3AA_G2_event_source_priority,phase3aa_event_0026_phase3ae_brepair_v1_00026,False,True,False,False,True,True,True,review_uplimit_reason,event_state_bounded_formula_candidate,CSRank(Neg($evt_limit_fengdan_rate_last_by_1130)),v2cand-ee6b3fbef51b,event_state_machine_formula_lane,phase3ae_bounded_repair_factor_pack_v1_20260604,phase3ae-bounded-repair-factor-pack-v1-2026-06-04,limit_event_sentiment,fengdan_rate,evt_limit_fengdan_rate_last_by_1130,event_cutoff_required; same-day use allowed only after observable cutoff; otherwise lag1,requires_pre_replay_features_no_future_labels_no_same_day_unavailable_fields,False,evt_limit_fengdan_rate_last_by_1130,event_derived_feature_layer,True,phase3aa-shared-pool-event-injection-v1-2026-05-29,0.85,candidate-pool-source-priority-v1-2026-05-28,selector_only_then_64_audited_canary_no_baseline_update,event_derived_feature_layer,12.0,PIT_lag_contract|coverage_mask_placebo|shuffled_field_placebo|selector_only_canary|replay_canary|new_vs_149_signal_recluster|source_attribution,event_cutoff_or_lag1,v2cand-ee6b3fbef51b,True,skeleton-1fbdca83db8a353a,v2cand-ee6b3fbef51b,phase3aa_opt_in_selector_source_priority,runtime\phase3ae_bounded_repair_selector_only_v1_20260604\phase3ae_bounded_repair_factor_pack_value_filtered_v1_20260604.json,b6d6c04b7e3aff29,phase3ae_bounded_repair_factor_pack_v1,cn_zzshare_uplimit_history_silver_v1_20260531,phase3ae_bounded_repair_feature_layer,D3_primary,phase3ae_bounded_repair_feature_layer:event_state_bounded_formula_candidate:none,global_field_route,rank_inverse,phase3e_signal_vector_diversified_source_priority_proxy,phase3e_signal_vector_diversified_source_priority_proxy_rank_21,phase3e_selector_pool,False,phase3e_selector,selector_pre_audit,phase3e_signal_vector_diversified_source_priority_proxy,False,,signal_vector_diversified_source_priority_proxy,0.6499997,0.0,,,0.166667,0.141667,cluster_079,0.166667,0.141667,cluster_079,0.833333,,prov_94e87209,event_derived_feature_layer|prov_94e87209,0.325,0.253333,0.2524997,0.0,0.0,0.0,0.059639,0.070323,0.074188,2,1,0.0,0.0,0.0,1.0,1.0,-0.0525,0.166667,0.0,,db0e26148a4fbc94834d,missing,UnsupportedExpressionError:missing_field:evt_limit_fengdan_rate_last_by_1130,False,,0.0,0.0,1.0,,sigprov_db0e26148a4f,event_derived_feature_layer|sigprov_db0e26148a4f,self_vector,0.0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,signal_vector_diversified_source_priority_proxy
Phase3AA_G2_event_source_priority,phase3aa_event_0005_phase3ae_brepair_v1_00005,False,True,False,False,True,True,True,review_uplimit_reason,event_state_bounded_formula_candidate,"CSRank(Mean($evt_limit_fengdan_rate_last_by_0930,2))",v2cand-dbe5ceee3972,event_state_machine_formula_lane,phase3ae_bounded_repair_factor_pack_v1_20260604,phase3ae-bounded-repair-factor-pack-v1-2026-06-04,limit_event_sentiment,fengdan_rate,evt_limit_fengdan_rate_last_by_0930,event_cutoff_required; same-day use allowed only after observable cutoff; otherwise lag1,requires_pre_replay_features_no_future_labels_no_same_day_unavailable_fields,False,evt_limit_fengdan_rate_last_by_0930,event_derived_feature_layer,True,phase3aa-shared-pool-event-injection-v1-2026-05-29,0.85,candidate-pool-source-priority-v1-2026-05-28,selector_only_then_64_audited_canary_no_baseline_update,event_derived_feature_layer,12.0,PIT_lag_contract|coverage_mask_placebo|shuffled_field_placebo|selector_only_canary|replay_canary|new_vs_149_signal_recluster|source_attribution,event_cutoff_or_lag1,v2cand-dbe5ceee3972,True,skeleton-512970b00c394ad9,v2cand-dbe5ceee3972,phase3aa_opt_in_selector_source_priority,runtime\phase3ae_bounded_repair_selector_only_v1_20260604\phase3ae_bounded_repair_factor_pack_value_filtered_v1_20260604.json,b8dabf6c3ab7abe9,phase3ae_bounded_repair_factor_pack_v1,cn_zzshare_uplimit_history_silver_v1_20260531,phase3ae_bounded_repair_feature_layer,D3_primary,phase3ae_bounded_repair_feature_layer:event_state_bounded_formula_candidate:none,global_field_route,event_state_mean_2,phase3e_signal_vector_diversified_source_priority_proxy,phase3e_signal_vector_diversified_source_priority_proxy_rank_22,phase3e_selector_pool,False,phase3e_selector,selector_pre_audit,phase3e_signal_vector_diversified_source_priority_proxy,False,,signal_vector_diversified_source_priority_proxy,0.6499997,0.0,,,0.166667,0.166667,cluster_001,0.166667,0.166667,cluster_001,0.833333,,prov_d213e98d,event_derived_feature_layer|prov_d213e98d,0.325,0.276667,0.2524997,0.0,0.0,0.0,0.059639,0.070323,0.074188,2,1,0.0,0.0,0.0,1.0,1.0,-0.0525,0.166667,0.0,,c039a021ff587a56154e,missing,UnsupportedExpressionError:missing_field:evt_limit_fengdan_rate_last_by_0930,False,,0.0,0.0,1.0,,sigprov_c039a021ff58,event_derived_feature_layer|sigprov_c039a021ff58,self_vector,0.0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,signal_vector_diversified_source_priority_proxy
Phase3AA_G2_event_source_priority,phase3aa_event_0004_phase3ae_brepair_v1_00004,False,True,False,False,True,True,True,review_uplimit_reason,event_state_bounded_formula_candidate,CSRank(ZScore($evt_limit_fengdan_rate_last_by_0930)),v2cand-b822f0414385,event_state_machine_formula_lane,phase3ae_bounded_repair_factor_pack_v1_20260604,phase3ae-bounded-repair-factor-pack-v1-2026-06-04,limit_event_sentiment,fengdan_rate,evt_limit_fengdan_rate_last_by_0930,event_cutoff_required; same-day use allowed only after observable cutoff; otherwise lag1,requires_pre_replay_features_no_future_labels_no_same_day_unavailable_fields,False,evt_limit_fengdan_rate_last_by_0930,event_derived_feature_layer,True,phase3aa-shared-pool-event-injection-v1-2026-05-29,0.85,candidate-pool-source-priority-v1-2026-05-28,selector_only_then_64_audited_canary_no_baseline_update,event_derived_feature_layer,12.0,PIT_lag_contract|coverage_mask_placebo|shuffled_field_placebo|selector_only_canary|replay_canary|new_vs_149_signal_recluster|source_attribution,event_cutoff_or_lag1,v2cand-b822f0414385,True,skeleton-43c32d9e86d338e6,v2cand-b822f0414385,phase3aa_opt_in_selector_source_priority,runtime\phase3ae_bounded_repair_selector_only_v1_20260604\phase3ae_bounded_repair_factor_pack_value_filtered_v1_20260604.json,b8dabf6c3ab7abe9,phase3ae_bounded_repair_factor_pack_v1,cn_zzshare_uplimit_history_silver_v1_20260531,phase3ae_bounded_repair_feature_layer,D3_primary,phase3ae_bounded_repair_feature_layer:event_state_bounded_formula_candidate:none,global_field_route,rank_zscore_level,phase3e_signal_vector_diversified_source_priority_proxy,phase3e_signal_vector_diversified_source_priority_proxy_rank_23,phase3e_selector_pool,False,phase3e_selector,selector_pre_audit,phase3e_signal_vector_diversified_source_priority_proxy,False,,signal_vector_diversified_source_priority_proxy,0.6499997,0.0,,,0.166667,0.158333,cluster_013,0.166667,0.158333,cluster_013,0.833333,,prov_667e046c,event_derived_feature_layer|prov_667e046c,0.325,0.285,0.2524997,0.0,0.0,0.0,0.059639,0.070323,0.074188,2,1,0.0,0.0,0.0,1.0,1.0,-0.0525,0.166667,0.0,,941067f317148385d274,missing,UnsupportedExpressionError:missing_field:evt_limit_fengdan_rate_last_by_0930,False,,0.0,0.0,1.0,,sigprov_941067f31714,event_derived_feature_layer|sigprov_941067f31714,self_vector,0.0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,signal_vector_diversified_source_priority_proxy
Phase3AA_G2_event_source_priority,phase3aa_event_0146_phase3ae_brepair_v1_00224,True,False,False,False,False,False,True,holder_num_detail,capacity_normalized_bounded_formula_candidate,"CSRank(Neg(Mean($ctx_holder_change_shares,20)))",v2cand-f7205a1e6b89,announcement_pit_formula_lane,phase3ae_bounded_repair_factor_pack_v1_20260604,phase3ae-bounded-repair-factor-pack-v1-2026-06-04,capacity_size,CHANGE_SHARES,ctx_holder_change_shares,announcement_PIT_notice_date_plus_next_trading_day_lag,requires_pre_replay_features_no_future_labels_no_same_day_unavailable_fields,False,ctx_holder_change_shares,event_derived_feature_layer,True,phase3aa-shared-pool-event-injection-v1-2026-05-29,0.78,candidate-pool-source-priority-v1-2026-05-28,selector_only_then_64_audited_canary_no_baseline_update,event_derived_feature_layer,10.6,PIT_lag_contract|coverage_mask_placebo|shuffled_field_placebo|selector_only_canary|replay_canary|new_vs_149_signal_recluster|source_attribution,1,v2cand-f7205a1e6b89,True,skeleton-584fa0e34a5bda96,v2cand-f7205a1e6b89,phase3aa_opt_in_selector_source_priority,runtime\phase3ae_bounded_repair_selector_only_v1_20260604\phase3ae_bounded_repair_factor_pack_value_filtered_v1_20260604.json,c2d2798d60742757,phase3ae_bounded_repair_factor_pack_v1,cn_public_xsection_no_kline_silver_v1_20260530,phase3ae_bounded_repair_feature_layer,D3_primary,phase3ae_bounded_repair_feature_layer:capacity_normalized_bounded_formula_candidate:none,global_field_route,capacity_inverse_mean_20,phase3e_signal_vector_diversified_source_priority_proxy,phase3e_signal_vector_diversified_source_priority_proxy_rank_25,phase3e_selector_pool,False,phase3e_selector,selector_pre_audit,phase3e_signal_vector_diversified_source_priority_proxy,False,,signal_vector_diversified_source_priority_proxy,0.5953122,0.0,,,0.15,0.14,cluster_088,0.15,0.14,cluster_088,0.85,,prov_b029d85b,event_derived_feature_layer|prov_b029d85b,0.166667,0.146667,0.3149999,0.0,0.0,0.0,0.059639,0.070323,0.074188,2,1,0.0,0.0,0.0,1.0,1.0,-0.077,0.15,0.0,,1f60de955df9004540ba,runtime_evaluated,,True,cluster_001,0.0,0.0,1.0,,sigprov_1f60de955df9,event_derived_feature_layer|sigprov_1f60de955df9,self_vector,0.097566,0.061989,,dce76d340ce67af6bdfa,0,0,0,0.097566,0.0,0.0,0.0,0.0,0.0,signal_vector_diversified_source_priority_proxy
Phase3AA_G2_event_source_priority,phase3aa_event_0009_phase3ae_brepair_v1_00009,False,True,False,False,True,True,True,review_uplimit_reason,event_state_bounded_formula_candidate,CSRank($evt_limit_fengdan_rate_last_by_0935),v2cand-76c4f151f4cb,event_state_machine_formula_lane,phase3ae_bounded_repair_factor_pack_v1_20260604,phase3ae-bounded-repair-factor-pack-v1-2026-06-04,limit_event_sentiment,fengdan_rate,evt_limit_fengdan_rate_last_by_0935,event_cutoff_required; same-day use allowed only after observable cutoff; otherwise lag1,requires_pre_replay_features_no_future_labels_no_same_day_unavailable_fields,False,evt_limit_fengdan_rate_last_by_0935,event_derived_feature_layer,True,phase3aa-shared-pool-event-injection-v1-2026-05-29,0.85,candidate-pool-source-priority-v1-2026-05-28,selector_only_then_64_audited_canary_no_baseline_update,event_derived_feature_layer,12.0,PIT_lag_contract|coverage_mask_placebo|shuffled_field_placebo|selector_only_canary|replay_canary|new_vs_149_signal_recluster|source_attribution,event_cutoff_or_lag1,v2cand-76c4f151f4cb,True,skeleton-7bec5eaeed393de9,v2cand-76c4f151f4cb,phase3aa_opt_in_selector_source_priority,runtime\phase3ae_bounded_repair_selector_only_v1_20260604\phase3ae_bounded_repair_factor_pack_value_filtered_v1_20260604.json,6813ca46be4067f2,phase3ae_bounded_repair_factor_pack_v1,cn_zzshare_uplimit_history_silver_v1_20260531,phase3ae_bounded_repair_feature_layer,D3_primary,phase3ae_bounded_repair_feature_layer:event_state_bounded_formula_candidate:none,global_field_route,rank_level,phase3e_signal_vector_diversified_source_priority_proxy,phase3e_signal_vector_diversified_source_priority_proxy_rank_27,phase3e_selector_pool,False,phase3e_selector,selector_pre_audit,phase3e_signal_vector_diversified_source_priority_proxy,False,,signal_vector_diversified_source_priority_proxy,0.5225003,0.0,,,0.083333,0.083333,cluster_148,0.083333,0.083333,cluster_148,0.916667,,prov_c34c2f3c,event_derived_feature_layer|prov_c34c2f3c,1.0,0.46,0.1250003,0.0,0.0,0.0,0.059639,0.070323,0.074188,2,1,0.0,0.0,0.0,1.0,1.0,-0.0525,0.083333,0.0,,24213ea3e060047de492,missing,UnsupportedExpressionError:missing_field:evt_limit_fengdan_rate_last_by_0935,False,,0.0,0.0,1.0,,sigprov_24213ea3e060,event_derived_feature_layer|sigprov_24213ea3e060,self_vector,0.0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,signal_vector_diversified_source_priority_proxy
Phase3AA_G2_event_source_priority,phase3aa_event_0017_phase3ae_brepair_v1_00017,False,True,False,False,True,True,True,review_uplimit_reason,event_state_bounded_formula_candidate,CSRank($evt_limit_fengdan_rate_last_by_1000),v2cand-b03394ff9da0,event_state_machine_formula_lane,phase3ae_bounded_repair_factor_pack_v1_20260604,phase3ae-bounded-repair-factor-pack-v1-2026-06-04,limit_event_sentiment,fengdan_rate,evt_limit_fengdan_rate_last_by_1000,event_cutoff_required; same-day use allowed only after observable cutoff; otherwise lag1,requires_pre_replay_features_no_future_labels_no_same_day_unavailable_fields,False,evt_limit_fengdan_rate_last_by_1000,event_derived_feature_layer,True,phase3aa-shared-pool-event-injection-v1-2026-05-29,0.85,candidate-pool-source-priority-v1-2026-05-28,selector_only_then_64_audited_canary_no_baseline_update,event_derived_feature_layer,12.0,PIT_lag_contract|coverage_mask_placebo|shuffled_field_placebo|selector_only_canary|replay_canary|new_vs_149_signal_recluster|source_attribution,event_cutoff_or_lag1,v2cand-b03394ff9da0,True,skeleton-7bec5eaeed393de9,v2cand-b03394ff9da0,phase3aa_opt_in_selector_source_priority,runtime\phase3ae_bounded_repair_selector_only_v1_20260604\phase3ae_bounded_repair_factor_pack_value_filtered_v1_20260604.json,49de1a4de69b27cd,phase3ae_bounded_repair_factor_pack_v1,cn_zzshare_uplimit_history_silver_v1_20260531,phase3ae_bounded_repair_feature_layer,D3_primary,phase3ae_bounded_repair_feature_layer:event_state_bounded_formula_candidate:none,global_field_route,rank_level,phase3e_signal_vector_diversified_source_priority_proxy,phase3e_signal_vector_diversified_source_priority_proxy_rank_28,phase3e_selector_pool,False,phase3e_selector,selector_pre_audit,phase3e_signal_vector_diversified_source_priority_proxy,False,,signal_vector_diversified_source_priority_proxy,0.5225003,0.0,,,0.083333,0.083333,cluster_148,0.083333,0.083333,cluster_148,0.916667,,prov_c34c2f3c,event_derived_feature_layer|prov_c34c2f3c,1.0,0.595,0.1250003,0.0,0.0,0.0,0.059639,0.070323,0.074188,2,1,0.0,0.0,0.0,1.0,1.0,-0.0525,0.083333,0.0,,547797a25d3cce9d0f9e,missing,UnsupportedExpressionError:missing_field:evt_limit_fengdan_rate_last_by_1000,False,,0.0,0.0,1.0,,sigprov_547797a25d3c,event_derived_feature_layer|sigprov_547797a25d3c,self_vector,0.0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,signal_vector_diversified_source_priority_proxy
Phase3AA_G2_event_source_priority,phase3aa_event_0001_phase3ae_brepair_v1_00001,False,True,False,False,True,True,True,review_uplimit_reason,event_state_bounded_formula_candidate,CSRank($evt_limit_fengdan_rate_last_by_0930),v2cand-c965c22e2824,event_state_machine_formula_lane,phase3ae_bounded_repair_factor_pack_v1_20260604,phase3ae-bounded-repair-factor-pack-v1-2026-06-04,limit_event_sentiment,fengdan_rate,evt_limit_fengdan_rate_last_by_0930,event_cutoff_required; same-day use allowed only after observable cutoff; otherwise lag1,requires_pre_replay_features_no_future_labels_no_same_day_unavailable_fields,False,evt_limit_fengdan_rate_last_by_0930,event_derived_feature_layer,True,phase3aa-shared-pool-event-injection-v1-2026-05-29,0.85,candidate-pool-source-priority-v1-2026-05-28,selector_only_then_64_audited_canary_no_baseline_update,event_derived_feature_layer,12.0,PIT_lag_contract|coverage_mask_placebo|shuffled_field_placebo|selector_only_canary|replay_canary|new_vs_149_signal_recluster|source_attribution,event_cutoff_or_lag1,v2cand-c965c22e2824,True,skeleton-7bec5eaeed393de9,v2cand-c965c22e2824,phase3aa_opt_in_selector_source_priority,runtime\phase3ae_bounded_repair_selector_only_v1_20260604\phase3ae_bounded_repair_factor_pack_value_filtered_v1_20260604.json,b8dabf6c3ab7abe9,phase3ae_bounded_repair_factor_pack_v1,cn_zzshare_uplimit_history_silver_v1_20260531,phase3ae_bounded_repair_feature_layer,D3_primary,phase3ae_bounded_repair_feature_layer:event_state_bounded_formula_candidate:none,global_field_route,rank_level,phase3e_signal_vector_diversified_source_priority_proxy,phase3e_signal_vector_diversified_source_priority_proxy_rank_30,phase3e_selector_pool,False,phase3e_selector,selector_pre_audit,phase3e_signal_vector_diversified_source_priority_proxy,False,,signal_vector_diversified_source_priority_proxy,0.5225003,0.0,,,0.083333,0.083333,cluster_148,0.083333,0.083333,cluster_148,0.916667,,prov_c34c2f3c,event_derived_feature_layer|prov_c34c2f3c,1.0,0.865,0.1250003,0.0,0.0,0.0,0.059639,0.070323,0.074188,2,1,0.0,0.0,0.0,1.0,1.0,-0.0525,0.083333,0.0,,ba8cd9c1b0aaac4a2018,missing,UnsupportedExpressionError:missing_field:evt_limit_fengdan_rate_last_by_0930,False,,0.0,0.0,1.0,,sigprov_ba8cd9c1b0aa,event_derived_feature_layer|sigprov_ba8cd9c1b0aa,self_vector,0.0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,signal_vector_diversified_source_priority_proxy
