table_id,path,rows,columns,route,system_destination,availability,selector_allowed,pit_rule,key_columns,sample_columns,date_min,date_max,amount_nonnull_rate,recent_nonnull_rate,recent_rows
balance_sheet_report_em,cn_fundamental_akshare_batch_v1_20260531\aggregated_v1\balance_sheet_report_em\balance_sheet_report_em.parquet,13401,431,announcement_pit_context,fundamental_pit_feature_panel,notice_date_plus_1_conservative,true_after_notice_date,NOTICE_DATE governs availability; REPORT_DATE alone is not enough,source_code6|SECUCODE|SECURITY_CODE|REPORT_DATE|REPORT_DATE_NAME|NOTICE_DATE|UPDATE_DATE,source_em|source_code6|SECUCODE|SECURITY_CODE|SECURITY_NAME_ABBR|ORG_CODE|ORG_TYPE|REPORT_DATE|REPORT_TYPE|REPORT_DATE_NAME|SECURITY_TYPE_CODE|NOTICE_DATE|UPDATE_DATE|CURRENCY|ACCEPT_DEPOSIT_INTERBANK|ACCOUNTS_PAYABLE|ACCOUNTS_RECE|ACCRUED_EXPENSE|ADVANCE_RECEIVABLES|AGENT_TRADE_SECURITY|AGENT_UNDERWRITE_SECURITY|AMORTIZE_COST_FINASSET|AMORTIZE_COST_FINLIAB|AMORTIZE_COST_NCFINASSET|AMORTIZE_COST_NCFINLIAB|APPOINT_FVTPL_FINASSET|APPOINT_FVTPL_FINLIAB|ASSET_BALANCE|ASSET_OTHER|ASSIGN_CASH_DIVIDEND|AVAILABLE_SALE_FINASSET|BOND_PAYABLE|BORROW_FUND|BUY_RESALE_FINASSET|CAPITAL_RESERVE|CIP|CONSUMPTIVE_BIOLOGICAL_ASSET|CONTRACT_ASSET|CONTRACT_LIAB|CONVERT_DIFF,,,,,
cash_flow_sheet_report_em,cn_fundamental_akshare_batch_v1_20260531\aggregated_v1\cash_flow_sheet_report_em\cash_flow_sheet_report_em.parquet,13296,473,announcement_pit_context,fundamental_pit_feature_panel,notice_date_plus_1_conservative,true_after_notice_date,NOTICE_DATE governs availability; REPORT_DATE alone is not enough,source_code6|SECUCODE|SECURITY_CODE|REPORT_DATE|REPORT_DATE_NAME|NOTICE_DATE|UPDATE_DATE,source_em|source_code6|SECUCODE|SECURITY_CODE|SECURITY_NAME_ABBR|ORG_CODE|ORG_TYPE|REPORT_DATE|REPORT_TYPE|REPORT_DATE_NAME|SECURITY_TYPE_CODE|NOTICE_DATE|UPDATE_DATE|CURRENCY|SALES_SERVICES|DEPOSIT_INTERBANK_ADD|LOAN_PBC_ADD|OFI_BF_ADD|RECEIVE_ORIGIC_PREMIUM|RECEIVE_REINSURE_NET|INSURED_INVEST_ADD|DISPOSAL_TFA_ADD|RECEIVE_INTEREST_COMMISSION|BORROW_FUND_ADD|LOAN_ADVANCE_REDUCE|REPO_BUSINESS_ADD|RECEIVE_TAX_REFUND|RECEIVE_OTHER_OPERATE|OPERATE_INFLOW_OTHER|OPERATE_INFLOW_BALANCE|TOTAL_OPERATE_INFLOW|BUY_SERVICES|LOAN_ADVANCE_ADD|PBC_INTERBANK_ADD|PAY_ORIGIC_COMPENSATE|PAY_INTEREST_COMMISSION|PAY_POLICY_BONUS|PAY_STAFF_CASH|PAY_ALL_TAX|PAY_OTHER_OPERATE,,,,,
circulate_stock_holder_sina,cn_fundamental_akshare_batch_v1_20260531\aggregated_v1\circulate_stock_holder_sina\circulate_stock_holder_sina.parquet,118451,10,announcement_pit_context,fundamental_pit_feature_panel,notice_date_plus_1_conservative,true_after_notice_date,NOTICE_DATE governs availability; REPORT_DATE alone is not enough,source_code6,source_em|source_code6|截止日期|公告日期|编号|股东名称|持股数量|占流通股比例|股本性质|_source_file,,,,,
dividend_cninfo,cn_fundamental_akshare_batch_v1_20260531\aggregated_v1\dividend_cninfo\dividend_cninfo.parquet,2602,14,announcement_pit_context,pit_feature_panel,announcement_date_plus_1_conservative,true_after_pit_contract,corporate action dates need notice/ex-date separation,source_code6,source_em|source_code6|实施方案公告日期|送股比例|转增比例|派息比例|股权登记日|除权日|派息日|股份到账日|实施方案分红说明|分红类型|报告时间|_source_file,,,,,
financial_analysis_indicator_sina,cn_fundamental_akshare_batch_v1_20260531\aggregated_v1\financial_analysis_indicator_sina\financial_analysis_indicator_sina.parquet,4859,89,announcement_pit_context,fundamental_pit_feature_panel,notice_date_plus_1_conservative,true_after_notice_date,NOTICE_DATE governs availability; REPORT_DATE alone is not enough,source_code6,source_em|source_code6|日期|摊薄每股收益(元)|加权每股收益(元)|每股收益_调整后(元)|扣除非经常性损益后的每股收益(元)|每股净资产_调整前(元)|每股净资产_调整后(元)|每股经营性现金流(元)|每股资本公积金(元)|每股未分配利润(元)|调整后的每股净资产(元)|总资产利润率(%)|主营业务利润率(%)|总资产净利润率(%)|成本费用利润率(%)|营业利润率(%)|主营业务成本率(%)|销售净利率(%)|股本报酬率(%)|净资产报酬率(%)|资产报酬率(%)|销售毛利率(%)|三项费用比重|非主营比重|主营利润比重|股息发放率(%)|投资收益率(%)|主营业务利润(元)|净资产收益率(%)|加权净资产收益率(%)|扣除非经常性损益后的净利润(元)|主营业务收入增长率(%)|净利润增长率(%)|净资产增长率(%)|总资产增长率(%)|应收账款周转率(次)|应收账款周转天数(天)|存货周转天数(天),,,,,
main_stock_holder_sina,cn_fundamental_akshare_batch_v1_20260531\aggregated_v1\main_stock_holder_sina\main_stock_holder_sina.parquet,130548,13,announcement_pit_context,fundamental_pit_feature_panel,notice_date_plus_1_conservative,true_after_notice_date,NOTICE_DATE governs availability; REPORT_DATE alone is not enough,source_code6,source_em|source_code6|编号|股东名称|持股数量|持股比例|股本性质|截至日期|公告日期|股东说明|股东总数|平均持股数|_source_file,,,,,
profit_sheet_report_em,cn_fundamental_akshare_batch_v1_20260531\aggregated_v1\profit_sheet_report_em\profit_sheet_report_em.parquet,13752,281,announcement_pit_context,fundamental_pit_feature_panel,notice_date_plus_1_conservative,true_after_notice_date,NOTICE_DATE governs availability; REPORT_DATE alone is not enough,source_code6|SECUCODE|SECURITY_CODE|REPORT_DATE|REPORT_DATE_NAME|NOTICE_DATE|UPDATE_DATE,source_em|source_code6|SECUCODE|SECURITY_CODE|SECURITY_NAME_ABBR|ORG_CODE|ORG_TYPE|REPORT_DATE|REPORT_TYPE|REPORT_DATE_NAME|SECURITY_TYPE_CODE|NOTICE_DATE|UPDATE_DATE|CURRENCY|TOTAL_OPERATE_INCOME|TOTAL_OPERATE_INCOME_YOY|OPERATE_INCOME|OPERATE_INCOME_YOY|INTEREST_INCOME|INTEREST_INCOME_YOY|EARNED_PREMIUM|EARNED_PREMIUM_YOY|FEE_COMMISSION_INCOME|FEE_COMMISSION_INCOME_YOY|OTHER_BUSINESS_INCOME|OTHER_BUSINESS_INCOME_YOY|TOI_OTHER|TOI_OTHER_YOY|TOTAL_OPERATE_COST|TOTAL_OPERATE_COST_YOY|OPERATE_COST|OPERATE_COST_YOY|INTEREST_EXPENSE|INTEREST_EXPENSE_YOY|FEE_COMMISSION_EXPENSE|FEE_COMMISSION_EXPENSE_YOY|RESEARCH_EXPENSE|RESEARCH_EXPENSE_YOY|SURRENDER_VALUE|SURRENDER_VALUE_YOY,,,,,
share_change_cninfo,cn_fundamental_akshare_batch_v1_20260531\aggregated_v1\share_change_cninfo\share_change_cninfo.parquet,5265,47,announcement_pit_context,pit_feature_panel,announcement_date_plus_1_conservative,true_after_pit_contract,corporate action dates need notice/ex-date separation,source_code6,source_em|source_code6|证券简称|机构名称|境外法人持股|证券投资基金持股|国家持股-受限|国有法人持股|配售法人股|发起人股份|未流通股份|其中：境外自然人持股|其他流通受限股份|其他流通股|外资持股-受限|内部职工股|境外上市外资股-H股|其中：境内法人持股|自然人持股|人民币普通股|国有法人持股-受限|一般法人持股|控股股东、实际控制人|其中：限售H股|变动原因|公告日期|境内法人持股|证券代码|变动日期|战略投资者持股|国家持股|其中：限售B股|其他未流通股|流通受限股份|优先股|高管股|总股本|其中：限售高管股|转配股|境内上市外资股-B股,,,,,
zygc_em,cn_fundamental_akshare_batch_v1_20260531\aggregated_v1\zygc_em\zygc_em.parquet,36497,14,announcement_pit_context,fundamental_pit_feature_panel,notice_date_plus_1_conservative,true_after_notice_date,NOTICE_DATE governs availability; REPORT_DATE alone is not enough,source_code6,source_em|source_code6|股票代码|报告日期|分类类型|主营构成|主营收入|收入比例|主营成本|成本比例|主营利润|利润比例|毛利率|_source_file,,,,,
year=2024,cn_local_minute_daily_silver_v1_20260531\hfq_daily_2024_2025\year=2024\part.parquet,1293882,40,lagged_daily_context,minute_panel_ctx_and_daily_factor_pack,trade_date_plus_1_conservative,true_lagged_only,join on signal_date = prior trading day; same-day close/state fields forbidden for intraday decisions,date|code|list_date|delist_date,date|code|name|industry|open_hfq|high_hfq|low_hfq|close_hfq|pre_close_hfq|volume_shares|amount_yuan|turnover_ratio|pct_chg|amplitude_pct|is_st|volume_ratio|return_3d_pct|return_6d_pct|return_10d_pct|return_25d_pct|is_limit_up|total_shares|float_shares|market_cap_yuan|float_market_cap_yuan|pe_ttm|pb|ps_ttm|ma5|ma10|ma20|ma30|ma60|ma120|ma250|list_date|delist_date|is_marginable|_source_file|_source_encoding,2024-01-02,2024-12-31,1.0,,
